Country,Year,Emissions,GDP_per_capita,Renewable_Share,Energy_per_capita,Population,Emissions_per_GDP,Emissions_per_capita,Global_Temperature
India,2021,3679.8617761938,8087.994,9.488208,6809.693,1414203896.0,0.32323813631806,2.6333198868158,0.8483
India,2022,3897.2089896012,9207.162,10.273168,7129.11,1425423212.0,0.31997320725773,2.7612070082868,0.8933
India,2023,4133.5543557465,10233.445,9.676426,7586.1997,1438069596.0,0.31545397254504,2.900418308529,1.1692
Indonesia,1970,206.33255085151,,11.57067,928.20734,,,,0.0258
Indonesia,1971,208.9691030724,,4.00115,861.0434,,,,-0.0808
Indonesia,1972,215.297055112,,3.3738363,889.41034,,,,0.0083
Indonesia,1973,230.63659914304,,3.7743795,977.2646,,,,0.16
Indonesia,1974,237.27106781751,,3.9022937,1020.7835,,,,-0.0708
Indonesia,1975,236.96780789492,,3.3421185,1218.8125,,,,-0.0133
Indonesia,1976,244.67468200262,,1.86724,1248.6306,,,,-0.0992
Indonesia,1977,269.75426816335,,2.34783,1610.9282,,,,0.1775
Indonesia,1978,287.21722975999,,1.49063,1768.873,,,,0.0683
Indonesia,1979,292.52741798744,,1.4562845,1965.9764,,,,0.1658
Indonesia,1980,296.26307647049,1108.676,1.2272301,2062.4712,148950540.0,,,0.2558
Indonesia,1981,305.86660734353,1280.542,1.1406815,2160.0718,152485035.0,,,0.3225
Indonesia,1982,296.21775335664,1363.269,1.2204517,2152.163,156052152.0,,,0.1367
Indonesia,1983,303.82117424374,1447.441,1.7323705,2228.0264,159651381.0,,,0.3117
Indonesia,1984,316.39658463107,1582.002,1.7180939,2399.01,163251124.0,,,0.155
Indonesia,1985,323.54187733058,1662.898,1.9808587,2490.9849,166776185.0,,,0.1158
Indonesia,1986,339.563160684,1783.078,2.9868257,2607.531,170175065.0,,,0.18
Indonesia,1987,340.73795209151,1909.607,2.9112308,2699.753,173511154.0,,,0.3192
Indonesia,1988,352.44819305454,2073.928,3.0289974,2796.916,176855065.0,,,0.3858
Indonesia,1989,364.11363592783,2305.48,3.4081194,3044.827,180201630.0,,,0.2717
Indonesia,1990,397.09882873098,2556.535,3.7318628,3294.7917,183501098.0,0.44351187575063,2.1886320244578,0.445
Indonesia,1991,415.91579206801,2832.017,3.81247,3522.5188,186778238.0,0.43504997980031,2.2528696971033,0.4033
Indonesia,1992,435.41575965211,3035.156,4.4085426,3801.7942,190043744.0,0.42765981798442,2.3189275990294,0.22
Indonesia,1993,452.58457757906,3299.565,3.8476534,3983.7983,193305168.0,0.41740638986208,2.3710424223547,0.23
Indonesia,1994,469.85394489742,3565.002,3.5212233,4102.256,196591828.0,0.40295106189009,2.4226143751802,0.3133
Indonesia,1995,500.40928946745,3874.674,3.5392694,4392.264,199888057.0,0.39655847062002,2.5406903479101,0.4442
Indonesia,1996,524.04910422833,4205.51,3.5088153,4633.9023,203204348.0,0.38517831207957,2.6213595988401,0.3283
Indonesia,1997,547.17341010393,4427.95,2.4772785,4948.9565,206536095.0,0.38412152839245,2.6977478729401,0.4633
Indonesia,1998,545.82796357302,3845.525,4.0149045,4789.7163,209826788.0,0.44107582320894,2.6533082675777,0.605
Indonesia,1999,558.10104863858,3885.913,3.852458,5151.666,213004668.0,0.4474536067062,2.6752937187918,0.38
Indonesia,2000,562.89331215218,4124.152,3.733831,5435.1587,216077790.0,0.43013293843582,2.6609308505511,0.3917
